Name,Address,Phone,Cuisines,Take Out,Saturday Opening time,Saturday Closing time,Sunday Opening time,Sunday Closing time
L’industrie Pizzeria,254 S 2nd StBrooklyn NY 11211,(718) 599-0002,Pizza,Yes,12:00 PM,11:00 PM,12:00 PM,10:00 PM
Andrea Salumeria,247 Central AveApt 3Jersey City NJ 07307,(201) 653-1666,Delis,Yes,8:00 AM,5:00 PM,CLOSED,CLOSED
Cafe Talya,218 Ave BBayonne NJ 07002,(201) 535-5333,Cafes;Mediterranean;American (Traditional),Yes,8:00 AM,3:00 PM,8:00 AM,3:00 PM
Los Tacos No.1,229 W 43rd StNew York NY 10036,(929) 226-6237,Tacos,Yes,11:00 AM,10:00 PM,11:00 AM,9:00 PM
Los Tacos No.1,75 9th AveNew York NY 10011,(212) 256-0343,Mexican,Yes,11:00 AM,10:00 PM,11:00 AM,9:00 PM
Chelsea Market,75 9th AveNew York NY 10011,(212) 652-2110,Public Markets,No,7:00 AM,9:00 PM,8:00 AM,8:00 PM
Sal Kris & Charlie’s Deli,33-12 23rd AveAstoria NY 11105,(718) 278-9240,Delis;Sandwiches,Yes,5:30 AM,8:00 PM,5:30 AM,3:00 PM
Mountain Province,9 Meserole StBrooklyn NY 11206,(718) 387-7030,Bakeries;Coffee & Tea,Yes,8:00 AM,6:00 PM,8:00 AM,6:00 PM
Los Mariscos,409 W 15th StNew York NY 10011,(212) 920-4986,Seafood;Tacos,Yes,11:00 AM,12:00 AM,11:00 AM,9:00 PM
Fiore Deli of Hoboken,414 Adams StHoboken NJ 07030,(201) 659-1655,Delis;Italian,Yes,8:00 AM,6:00 PM,CLOSED,CLOSED
Pita Palace,413 Graham AveBrooklyn NY 11211,(718) 383-0550,Middle Eastern;Falafel,Yes,11:30 AM,10:00 PM,11:30 AM,9:30 PM
Second Street Bakery,402 2nd StJersey City NJ 07302,(201) 420-1793,Bakeries;Delis;Sandwiches,Yes,9:00 AM,3:00 PM,9:00 AM,1:00 PM
Bucket & Bay Craft Gelato,150 Bay StJersey City NJ 07302,(201) 503-5588,Cafes;Ice Cream & Frozen Yogurt;Breakfast & Brunch,Yes,8:30 AM,11:30 PM,8:30 AM,10:30 PM
Miscelanea NY,63 E 4th StNew York NY 10003,(212) 253-0277,Coffee & Tea;Mexican;Sandwiches,Yes,9:00 AM,7:00 PM,9:00 AM,7:00 PM
Green Juice Cafe,4316 BroadwayNew York NY 10033,(646) 918-7730,Sandwiches;Coffee & Tea;Juice Bars & Smoothies,Yes,9:00 AM,6:30 PM,9:00 AM,4:45 PM
S & J,29-20 Crescent StAstoria NY 11102,(718) 879-0080,Moroccan;Halal;Middle Eastern,Yes,12:30 PM,7:00 PM,12:30 PM,7:00 PM
Sorriso Italian Pork Store,4416 30th AveAstoria NY 11103,(718) 728-4392,Meat Shops;Delis;Sandwiches,Yes,8:00 AM,6:30 PM,8:00 AM,2:00 PM
Coney Shack,3030 Stillwell AveBrooklyn NY 11224,(347) 856-8356,Food Trucks;Hot Dogs;Asian Fusion,Yes,12:00 PM,8:00 PM,12:00 PM,8:00 PM
Frisson Espresso,326 W 47th StNew York NY 10036,(646) 850-3928,Coffee & Tea;Cafes,Yes,8:00 AM,8:00 PM,8:00 AM,6:30 PM
Kudo Society Downtown Cafe,138 W Central BlvdPalisades Park NJ 07650,(201) 242-0001,Coffee & Tea;Bubble Tea;Cafes,Yes,7:00 AM,12:00 AM,7:00 AM,11:00 PM
Areperia Arepa Lady,77-02A Roosevelt AveJackson Heights NY 11373,(347) 730-6124,Colombian,Yes,11:00 AM,12:00 AM,11:00 AM,10:00 PM
Porto Rico Importing Company,201 Bleecker StNew York NY 10012,(212) 477-5421,Coffee & Tea;Candy Stores;Herbs & Spices,Yes,9:00 AM,9:00 PM,12:00 PM,7:00 PM
Prince Street Pizza,27 Prince StNew York NY 10012,(212) 966-4100,Pizza,Yes,11:30 AM,4:00 AM,12:00 PM,11:00 PM
Non Solo Piada,302 W 37th StNew York NY 10018,(212) 216-0616,Italian;Breakfast & Brunch;Piadina,Yes,8:00 AM,4:00 PM,8:00 AM,4:00 PM
Best Bagel & Coffee,225 W 35th StNew York NY 10001,(212) 564-4409,Bagels;Coffee & Tea;Breakfast & Brunch,Yes,8:00 AM,2:30 PM,CLOSED,CLOSED
Taim West Village,222 Waverly PlNew York NY 10014,(212) 691-1287,Vegetarian;Falafel,Yes,11:00 AM,10:00 PM,11:00 AM,10:00 PM
M & P Biancamano,1116 Washington StHoboken NJ 07030,(201) 795-0274,Grocery;Delis,Yes,8:30 AM,5:00 PM,CLOSED,CLOSED
Ba Xuyen,4222 8th AveBrooklyn NY 11232,(718) 633-6601,Vietnamese;Sandwiches,Yes,7:00 AM,6:30 PM,7:00 AM,6:30 PM
Kam Hing Coffee Shop,118 Baxter StNew York NY 10013,(212) 925-0425,Bakeries;Coffee & Tea,Yes,6:00 AM,8:00 PM,6:00 AM,8:00 PM
Cuomo And Sons,7709 BroadwayNorth Bergen NJ 07047,(201) 869-6913,Delis;Italian,Yes,8:00 AM,9:00 PM,CLOSED,CLOSED
Ray’s Candy Store,113 Avenue ANew York NY 10009,(212) 505-7609,Desserts;Ice Cream & Frozen Yogurt;Hot Dogs,Yes,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS
Tres Leches Cafe,356 E 112th StNew York NY 10029,(646) 559-0176,Bakeries;Desserts;Latin American,Yes,10:00 AM,6:30 PM,10:00 AM,3:00 PM
Kafe Louverture,392 Halsey StBrooklyn NY 11216,(347) 305-3176,Coffee & Tea;Haitian,Yes,8:00 AM,7:00 PM,10:00 AM,5:00 PM
Tony Dragon’s Grille,62ND St And Madison AveNew York NY 10065,(917) 299-1550,Food Trucks;Mediterranean;Burgers,Yes,11:00 AM,5:00 PM,CLOSED,CLOSED
JoJu,83-25 BroadwayElmhurst NY 11373,(347) 808-0887,Vietnamese;Sandwiches;Asian Fusion,Yes,11:00 AM,9:00 PM,11:00 AM,9:00 PM
Wah Fung No 1,79 Chrystie StNew York NY 10002,(212) 925-5175,Chinese,Yes,10:00 AM,10:00 PM,10:00 AM,10:00 PM
969 NYC Coffee,37-61 80th StJackson Heights NY 11372,(646) 203-7304,Coffee & Tea;Japanese,Yes,7:00 AM,9:00 PM,7:00 AM,8:00 PM
Manousheh,193 Bleecker StNew York NY 10012,(347) 971-5778,Lebanese;Bakeries,Yes,8:00 AM,11:00 PM,8:00 AM,11:00 PM
Cheeky Sandwiches,35 Orchard StNew York NY 10002,(646) 504-8132,Sandwiches;Desserts,Yes,8:00 AM,12:00 AM,8:00 AM,9:00 PM
Koffeewagon Roasters,155 Rte 17 SHasbrouck Heights NJ 07604,(201) 426-0520,Coffee & Tea;Coffee Roasteries,Yes,7:00 AM,9:00 PM,7:00 AM,8:00 PM
Brooklyn Bagel & Coffee Company,35-05 BroadwayAstoria NY 11106,(718) 204-0141,Bagels;Coffee & Tea,Yes,6:00 AM,4:30 PM,6:00 AM,4:30 PM
Bibble & Sip,253 W 51st StNew York NY 10019,(646) 649-5116,Coffee & Tea;Bakeries,Yes,10:00 AM,8:00 PM,10:00 AM,8:00 PM
Salome Cafe,84 Market StClifton NJ 07012,(973) 246-1465,Coffee & Tea;Bakeries;Sandwiches,Yes,8:00 AM,5:00 PM,8:00 AM,5:00 PM
Housing Works Bookstore Café,126 Crosby StNew York NY 10012,(212) 334-3324,Bookstores;Cafes,Yes,10:00 AM,6:00 PM,10:00 AM,6:00 PM
Fresco Gelateria,138 2nd AveNew York NY 10003,(212) 677-6320,Gelato;Ice Cream & Frozen Yogurt;Breakfast & Brunch,Yes,8:00 AM,11:30 PM,8:00 AM,11:00 PM
Tea and Milk,32-02 34th AveAstoria NY 11106,(347) 921-2056,Coffee & Tea;Cafes,Yes,9:00 AM,9:00 PM,9:00 AM,8:00 PM
Hero King,132 Franklin AveStore FrontNutley NJ 07110,(973) 661-3095,Sandwiches,Yes,9:00 AM,4:00 PM,CLOSED,CLOSED
Lorimer Market,620 Lorimer StBrooklyn NY 11211,(718) 389-2691,Meat Shops;Sandwiches;Burgers,Yes,8:00 AM,7:00 PM,CLOSED,CLOSED
