,Unnamed: 0,_id,ltable_Id,rtable_Id,ltable_Name,ltable_Street,ltable_Address,ltable_Cuisines,ltable_Take Out,rtable_Name,rtable_Street,rtable_Address,rtable_Cuisines,rtable_Take Out,label
546,1491,1491,3573,213,los tacos no. 1,75 9th ave ,"75 9th ave new york city, ny 10011-7006",Mexican;Latin;Fast Food,Yes,ninth street espresso,75 9th ave,75 9th avenew york ny 10011,Coffee & Tea;Cafes,Yes,0
120,316,316,771,3027,daniel,60 east 65th street ,"60 east 65th street new york city, ny 10065-7056",French;Vegetarian Friendly;Vegan Options,No,daniel,60 e 65th st.,60 e 65th st.new york ny 10065,French;American (Traditional);Cocktail Bars,No,1
81,218,218,557,2352,blaue gans,139 duane st ,"139 duane st new york city, ny 10013-3845",German;Austrian;European,No,blaue gans,139 duane st,139 duane stnew york ny 10013,German;Austrian;Beer Bar,Yes,1
441,1193,1193,2968,3120,chinese tuxedo nyc,5 doyers st ,"5 doyers st new york city, ny 10013-5140",Chinese;Asian,No,chinese tuxedo,5 doyers st,5 doyers stnew york ny 10013,Chinese;Seafood;Noodles,No,1
308,804,804,2049,65,n.y. dosas,50 washington sq s ,"50 washington sq s new york city, ny 10012-1018",Indian;Fast Food;Vegetarian Friendly,Yes,ny dosas,50 washington sq s,50 washington sq snew york ny 10014,Indian;Food Stands;Vegetarian,Yes,1
585,1596,1596,3839,265,go! go! curry!,273 w 38th st ,"273 w 38th st new york city, ny 10018-4416",Japanese;Fast Food;Asian,Yes,go! go! curry!,273 w 38th st,273 w 38th stnew york ny 10018,Japanese Curry,Yes,1
579,1583,1583,3802,2202,bathtub gin,136 9th ave ,"136 9th ave new york city, ny 10011-4949",American,No,bathtub gin,132 9th ave,132 9th avenew york ny 10011,Bars,No,1
160,419,419,1034,1437,savann restaurant,2280 frederick douglass blvd ,"2280 frederick douglass blvd new york city, ny 10027-5329",Mediterranean;Turkish;Vegetarian Friendly,Yes,lido,2168 frederick douglass blvd,2168 frederick douglass blvdnew york ny 10026,Italian;Breakfast & Brunch;Cocktail Bars,Yes,0
588,1606,1606,3858,2788,tick tock diner,481 8th ave ,"481 8th ave new york city, ny 10001-1809",American;Diner;Vegetarian Friendly,Yes,butcher & banker,481 8th ave,481 8th avenew york ny 10001,Steakhouses;American (New);Cocktail Bars,No,0
238,629,629,1595,2217,hearth,403 e 12th st ,"403 e 12th st new york city, ny 10009-4024",American;Vegetarian Friendly;Gluten Free Options,No,hearth,403 e 12th st,403 e 12th stnew york ny 10009,American (New);Italian;Breakfast & Brunch,No,1
440,1189,1189,2965,2422,maya,1191 1st ave ,"1191 1st ave new york city, ny 10065-7108",Mexican;Latin;Contemporary,Yes,maya,1191 1st avebetween 64th st & 65th st,1191 1st avebetween 64th st & 65th stnew york ny 10065,Mexican,Yes,1
487,1315,1315,3161,3065,blake & todd,52 vanderbilt ave ,"52 vanderbilt ave new york city, ny 10017-3808",American,Yes,ammos estiatorio,52 vanderbilt ave,52 vanderbilt avenew york ny 10017,Greek;Seafood,Yes,0
397,1078,1078,2741,2548,per se,10 columbus cir ,"10 columbus cir new york city, ny 10019-1158",French;American;Vegetarian Friendly,No,ascent lounge,10 columbus cirfl 4,10 columbus cirfl 4new york ny 10019,Cocktail Bars;Venues & Event Spaces;Lounges,No,0
195,504,504,1246,2045,uncle boon's,7 spring st ,"7 spring st new york city, ny 10012-4224",Asian;Thai;Vegetarian Friendly,Yes,uncle boons,7 spring st,7 spring stnew york ny 10012,Thai,Yes,1
191,495,495,1213,1973,lennys thirty rock,30 rockefeller plz ,"30 rockefeller plz new york city, ny 10112-0015",,No,rainbow room,30 rockefeller plzfl 65,30 rockefeller plzfl 65new york ny 10112,American (New);Venues & Event Spaces,No,0
116,311,311,755,2383,2 bros pizza - chelsea area,601 avenue of the americas ,"601 avenue of the americas new york city, ny 10011-2025",Pizza;Fast Food,Yes,48 lounge,1221 avenue of the americas,1221 avenue of the americasnew york ny 10020,Lounges;Venues & Event Spaces,No,0
