,Unnamed: 0,_id,ltable_Id,rtable_Id,ltable_Name,ltable_Street,ltable_Address,ltable_Cuisines,ltable_Take Out,rtable_Name,rtable_Street,rtable_Address,rtable_Cuisines,rtable_Take Out,label
434,1164,1164,2882,3032,iridium jazz club,1650 broadway ,"1650 broadway new york city, ny 10019-6833",American;Bar;Pub,No,the iridium,1650 broadway,1650 broadwaynew york ny 10019,Jazz & Blues;American (New),No,1
122,319,319,778,2666,mykonos blue restaurant & rooftop,127 w 28th st ,"127 w 28th st new york city, ny 10001-6102",Mediterranean;Greek;Seafood,No,mykonos blue,127 w 28th st,127 w 28th stnew york ny 10001,Greek,Yes,1
224,603,603,1522,599,noodle village,13 mott st ,"13 mott st new york city, ny 10013-5025",Chinese;Asian;Vegetarian Friendly,Yes,noodle village,13 mott st,13 mott stnew york ny 10013,Chinese;Noodles,Yes,1
479,1290,1290,3111,1845,parker and quinn,63 w 39th st ,"63 w 39th st new york city, ny 10018-3801",American;Bar;Vegetarian Friendly,Yes,parker & quinn,64 w 39th st,64 w 39th stnew york ny 10018,American (New);Bars;Breakfast & Brunch,Yes,1
205,540,540,1350,1949,moustache,90 bedford st ,"90 bedford st new york city, ny 10014-3764",Lebanese;Mediterranean;Middle Eastern,Yes,the little owl,90 bedford st,90 bedford stnew york ny 10014,Desserts;Wine Bars;Mediterranean,Yes,0
569,1554,1554,3724,1508,trattoria trecolori,254 w 47th st ,"254 w 47th st new york city, ny 10036-5652",Italian;Vegetarian Friendly;Vegan Options,Yes,trattoria trecolori,254 w 47th st,254 w 47th stnew york ny 10036,Italian,Yes,1
432,1159,1159,2875,2632,manzo,200 5th ave ,"200 5th ave new york city, ny 10010-3302",Italian,No,eataly,200 5th ave,200 5th avenew york ny 10010,Italian;Grocery;Cafes,No,0
526,1428,1428,3416,1086,the lobster place,75 9th ave ,"75 9th ave new york city, ny 10011-7006",Seafood;Gluten Free Options,Yes,the lobster place,75 9th ave,75 9th avenew york ny 10011,Seafood Markets;Seafood,Yes,1
439,1187,1187,2952,1968,basso56,234 w 56th st ,"234 w 56th st new york city, ny 10019-4302",Italian;Mediterranean;European,Yes,basso56,234 w 56th st,234 w 56th stnew york ny 10019,Italian;Wine Bars;Desserts,Yes,1
162,423,423,1046,987,cafe katja,79 orchard st ,"79 orchard st new york city, ny 10002-4535",German;Austrian;European,No,cafe katja,79 orchard st,79 orchard stnew york ny 10002,Pubs;German;Austrian,Yes,1
315,826,826,2124,2592,glass house tavern,252 w 47th st ,"252 w 47th st new york city, ny 10036-1415",American;Bar;Vegetarian Friendly,Yes,glass house tavern,252 w 47th st,252 w 47th stnew york ny 10036,American (New);Diners;Bars,Yes,1
400,1086,1086,2746,2370,vandal,199 bowery ,"199 bowery new york city, ny 10002-2853",American;Vegetarian Friendly;Vegan Options,No,vandal,199 bowery,199 bowerynew york ny 10002,Lounges,No,1
173,457,457,1111,2860,gotham lounge,700 5th ave ,"700 5th ave new york city, ny 10019-4145",,No,the peninsula new york,700 5th ave,700 5th avenew york ny 10019,Hotels,No,0
283,750,750,1923,1549,tuck shop,75 9th ave ,"75 9th ave new york city, ny 10011-7006",Australian,Yes,dizengoff nyc,75 9th ave,75 9th avenew york ny 10011,Middle Eastern,Yes,0
48,125,125,321,1437,vinateria,2211 frederick douglass blvd ,"2211 frederick douglass blvd new york city, ny 10026-1101",Italian;Contemporary;Mediterranean,Yes,lido,2168 frederick douglass blvd,2168 frederick douglass blvdnew york ny 10026,Italian;Breakfast & Brunch;Cocktail Bars,Yes,0
457,1229,1229,3030,5,filaga pizzeria e rosticerria siciliana,75 9th ave ,"75 9th ave new york city, ny 10011-7006",Italian;Pizza;Fast Food,Yes,los tacos no.1,75 9th ave,75 9th avenew york ny 10011,Mexican,Yes,0
482,1295,1295,3126,962,beyond sushi,62 w 56th st ,"62 w 56th st new york city, ny 10019-3824",Sushi;Asian;Healthy,Yes,beyond sushi,62 w 56th st,62 w 56th stnew york ny 10019,Sushi Bars;Vegan;Kosher,Yes,1
