,_id,ltable_Id,rtable_Id,ltable_Name,ltable_Street,ltable_Address,ltable_Phone,ltable_Cuisines,ltable_Take Out,rtable_Name,rtable_Street,rtable_Address,rtable_Phone,rtable_Cuisines,rtable_Take Out,label
0,0,6,1428,shanghai asian manor,21 mott st ,"21 mott st new york city, ny 10013-5032",+1 212-766-6311,Chinese;Asian;Vegetarian Friendly,Yes,shanghai asian manor,21 mott st,21 mott stnew york ny 10013,(212) 766-6311,Shanghainese,Yes,1
1,1,11,1489,shake shack,366 columbus ave ,"366 columbus ave new york city, ny 10024-5109",+1 646-747-8770,American;Fast Food,Yes,shake shack,366 columbus ave,366 columbus avenew york ny 10024,(646) 747-8770,Burgers;American (New),Yes,1
2,2,15,606,blue maiz,606 8th ave ,"606 8th ave new york city, ny 10018-3008",+1 212-704-2106,Mexican;Latin;Fast Food,Yes,blue maiz,606 8th ave,606 8th avenew york ny 10018,(212) 704-2106,Mexican,Yes,1
4,4,26,1972,pret a manger,30 rockefeller plz ,"30 rockefeller plz new york city, ny 10112-0015",+1 212-246-6944,American;Cafe;Fast Food,Yes,bar sixtyfive,30 rockefeller plzfl 65,30 rockefeller plzfl 65new york ny 10112,(212) 632-5000,Cocktail Bars;Venues & Event Spaces;American (New),No,1
5,5,26,1973,pret a manger,30 rockefeller plz ,"30 rockefeller plz new york city, ny 10112-0015",+1 212-246-6944,American;Cafe;Fast Food,Yes,rainbow room,30 rockefeller plzfl 65,30 rockefeller plzfl 65new york ny 10112,(212) 632-5000,American (New);Venues & Event Spaces,No,0
10,10,33,1589,friedman's,132 w 31st st ,"132 w 31st st new york city, ny 10001-3406",+1 212-971-9400,American;Vegetarian Friendly;Vegan Options,Yes,friedman’s,132 w 31st st,132 w 31st stnew york ny 10001,(212) 971-9400,American (New);Gluten-Free;Breakfast & Brunch,Yes,1
14,14,55,2505,benoit new york,60 w 55th st ,"60 w 55th st new york city, ny 10019-5308",+1 646-943-7373,French;Contemporary;Vegetarian Friendly,No,benoit,60 w 55th st,60 w 55th stnew york ny 10019,(646) 943-7373,French;Wine Bars,Yes,1
19,19,73,424,the bao,13 saint marks pl ,"13 saint marks pl new york city, ny 10003-7807",+1 202-388-9238,Chinese;Asian,Yes,crif dogs,113 saint marks pl,113 saint marks plnew york ny 10009,(212) 614-2728,Hot Dogs;American (New),Yes,0
23,23,85,2387,limani,45 rockefeller plz ,"45 rockefeller plz new york city, ny 10111-0100",+1 212-858-9200,Seafood;Mediterranean;Greek,No,limani,45 rockerfeller plz,45 rockerfeller plznew york ny 10111,(212) 858-9200,Mediterranean;Seafood,No,1
26,26,87,622,kung fu tea,73 chrystie st ,"73 chrystie st new york city, ny 10002-5034",+1 646-288-4936,Cafe,No,kung fu tea,73 chrystie st,73 chrystie stnew york ny 10002,(646) 288-4936,Coffee & Tea;Bubble Tea;Juice Bars & Smoothies,Yes,1
33,33,116,2480,perrine,2 e 61st st ,"2 e 61st st new york city, ny 10065-8401",+1 212-940-8195,Fusion;French;Vegetarian Friendly,No,two e bar/lounge,2 e 61st st,2 e 61st stnew york ny 10065,(212) 940-8113,Lounges;Tea Rooms,No,0
35,35,122,2902,uchu,217 eldridge st ,"217 eldridge st new york city, ny 10002-1317",+1 212-203-7634,Japanese;Bar;Sushi,No,uchu,217 eldridge st,217 eldridge stnew york ny 10002,(212) 203-7634,Sushi Bars,No,1
40,40,126,2631,rossopomodoro,200 5th ave ,"200 5th ave new york city, ny 10010-3302",+1 212-229-2560,Italian;Pizza;Vegetarian Friendly,Yes,il pesce,200 5th ave,200 5th avenew york ny 10010,(212) 229-2560,Seafood;Italian,No,0
44,44,131,2973,aquavit,65 e 55th st ,"65 e 55th st new york city, ny 10022-3219",+1 212-593-0287,European;Swedish;Scandinavian,No,aquavit,65 e 55th st,65 e 55th stnew york ny 10022,(212) 307-7311,Scandinavian,No,1
45,45,134,2755,bailey pub and brasserie,52 william st ,"52 william st new york city, ny 10005-2876",+1 212-859-2200,American;Bar;Pub,Yes,william’s restaurant and bar,52 william st,52 william stnew york ny 10005,(212) 859-2200,American (New),No,0
47,47,136,2549,a voce columbus,10 columbus cir ,"10 columbus cir new york city, ny 10019-1158",+1 212-823-2523,Italian;Gluten Free Options,No,ascent lounge,10 columbus cirfl 4,10 columbus cirfl 4new york ny 10019,(212) 823-9770,Cocktail Bars;Venues & Event Spaces;Lounges,No,0
49,49,136,2855,a voce columbus,10 columbus cir ,"10 columbus cir new york city, ny 10019-1158",+1 212-823-2523,Italian;Gluten Free Options,No,bar masa,10 columbus cirfl 4,10 columbus cirfl 4new york ny 10019,(212) 823-9800,Japanese,No,0
52,52,136,3110,a voce columbus,10 columbus cir ,"10 columbus cir new york city, ny 10019-1158",+1 212-823-2523,Italian;Gluten Free Options,No,center bar,10 columbus cirfl 4,10 columbus cirfl 4new york ny 10019,(212) 823-9482,Lounges;Salad;Sandwiches,No,0
55,55,148,2058,boqueria,53 w 19th st ,"53 w 19th st new york city, ny 10011-4202",+1 212-255-4160,Mediterranean;Spanish;Vegetarian Friendly,No,boqueria - flatiron,53 w 19th st,53 w 19th stnew york ny 10011,(646) 651-4654,Spanish;Tapas Bars;Wine Bars,Yes,1
56,56,151,1711,excellent dumpling house,165 w 23rd st ,"165 w 23rd st new york city, ny 10011-2404",+1 212-989-8885,Chinese,No,excellent dumpling house,165 w 23rd st,165 w 23rd stnew york ny 10011,(212) 989-8885,Dim Sum;Seafood;Soup,Yes,1
60,60,157,2885,hakubai,66 park ave ,"66 park ave new york city, ny 10016-3007",+1 212-885-7111,Japanese;Sushi;Asian,No,hakubai,66 park ave,66 park avenew york ny 10016,(212) 885-7111,Japanese,No,1
61,61,160,2119,marlow & sons,"81 broadway brooklyn, ny 11249-600","81 broadway brooklyn, ny 11249-6005",+1 718-384-1441,American;Gluten Free Options;Vegetarian Friendly,Yes,marlow & sons,81 broadwaybrooklyn ,81 broadwaybrooklyn ny 11249,(718) 384-1441,American (New),Yes,1
64,64,164,2104,victor's cafe,236 w 52nd st ,"236 w 52nd st new york city, ny 10019-5822",+1 212-586-7714,Latin;Spanish;Cuban,Yes,victor’s cafe,236 w 52nd st,236 w 52nd stnew york ny 10019,(212) 586-7714,Cuban;Tapas Bars;Lounges,Yes,1
66,66,168,998,the masalawala,179 essex st ,"179 essex st new york city, ny 10002-1547",+1 212-358-9300,Indian;Vegetarian Friendly;Vegan Options,Yes,the masalawala,179 essex st,179 essex stnew york ny 10002,(212) 358-9300,Indian;Pakistani,Yes,1
67,67,169,711,food gallery 32,11 w 32nd st ,"11 w 32nd st new york city, ny 10001-3819",+1 212-967-1678,Asian;Korean,Yes,sweet churros,11 w 32nd st,11 w 32nd stnew york ny 10001,(917) 847-1878,Coffee & Tea;Desserts;Ice Cream & Frozen Yogurt,Yes,0
69,69,173,742,cafemarie,120 macdougal st ,"120 macdougal st new york city, ny 10012-1246",+1 212-995-0400,,No,mighty bowl,120 macdougal st,120 macdougal stnew york ny 10012,(212) 777-5750,Asian Fusion;Japanese;Poke,Yes,0
70,70,175,2156,massoni,11 e 31st st ,"11 e 31st st new york city, ny 10016-6701",+1 212-951-1141,Italian;Pizza;Vegetarian Friendly,Yes,massoni,11 e 31st st,11 e 31st stnew york ny 10016,(212) 951-1141,Italian;Bars,Yes,1
71,71,180,3003,marea,240 central park s ,"240 central park s new york city, ny 10019-1457",+1 212-582-5100,Italian;Seafood;Mediterranean,No,marea,240 central park s,240 central park snew york ny 10019,(212) 582-5100,Seafood;Bars,No,1
72,72,180,3146,marea,240 central park s ,"240 central park s new york city, ny 10019-1457",+1 212-582-5100,Italian;Seafood;Mediterranean,No,bobby van’s cps,40 central park s,40 central park snew york ny 10019,(212) 369-4000,Steakhouses;American (New),Yes,1
75,75,188,845,great ny noodletown,28 1/2 bowery ,"28 1/2 bowery new york city, ny 10013-5102",+1 212-349-0923,Chinese;Asian,Yes,great ny noodle town,28 bowery,28 bowerynew york ny 10013,(212) 349-0923,Cantonese;Noodles,Yes,1
79,79,204,1973,rainbow room,30 rockefeller plz ,"30 rockefeller plz new york city, ny 10112-0015",+1 212-632-5000,American;Contemporary;Vegetarian Friendly,No,rainbow room,30 rockefeller plzfl 65,30 rockefeller plzfl 65new york ny 10112,(212) 632-5000,American (New);Venues & Event Spaces,No,1
80,80,204,2875,rainbow room,30 rockefeller plz ,"30 rockefeller plz new york city, ny 10112-0015",+1 212-632-5000,American;Contemporary;Vegetarian Friendly,No,bar sixtyfive,30 rockefeller plzfl 65,30 rockefeller plzfl 65new york ny 10112,(212) 632-5000,Cocktail Bars;Venues & Event Spaces;American (New),No,0
