Id,Name,Address,Phone,Cuisines,Saturday Opening time,Saturday Closing time,Sunday Opening time,Sunday Closing time,Take Out
1,L’industrie Pizzeria,254 S 2nd StBrooklyn NY 11211,(718) 599-0002,Pizza,12:00 PM,11:00 PM,12:00 PM,10:00 PM,Yes
2,Andrea Salumeria,247 Central AveApt 3Jersey City NJ 07307,(201) 653-1666,Delis,08:00 AM,05:00 PM,CLOSED,CLOSED,Yes
3,Cafe Talya,218 Ave BBayonne NJ 07002,(201) 535-5333,Cafes;Mediterranean;American (Traditional),08:00 AM,03:00 PM,08:00 AM,03:00 PM,Yes
4,Los Tacos No.1,229 W 43rd StNew York NY 10036,(929) 226-6237,Tacos,11:00 AM,10:00 PM,11:00 AM,09:00 PM,Yes
5,Los Tacos No.1,75 9th AveNew York NY 10011,(212) 256-0343,Mexican,11:00 AM,10:00 PM,11:00 AM,09:00 PM,Yes
6,Chelsea Market,75 9th AveNew York NY 10011,(212) 652-2110,Public Markets,07:00 AM,09:00 PM,08:00 AM,08:00 PM,No
7,Sal Kris & Charlie’s Deli,33-12 23rd AveAstoria NY 11105,(718) 278-9240,Delis;Sandwiches,05:30 AM,08:00 PM,05:30 AM,03:00 PM,Yes
8,Mountain Province,9 Meserole StBrooklyn NY 11206,(718) 387-7030,Bakeries;Coffee & Tea,08:00 AM,06:00 PM,08:00 AM,06:00 PM,Yes
9,Los Mariscos,409 W 15th StNew York NY 10011,(212) 920-4986,Seafood;Tacos,11:00 AM,12:00 AM,11:00 AM,09:00 PM,Yes
10,Fiore Deli of Hoboken,414 Adams StHoboken NJ 07030,(201) 659-1655,Delis;Italian,08:00 AM,06:00 PM,CLOSED,CLOSED,Yes
11,Pita Palace,413 Graham AveBrooklyn NY 11211,(718) 383-0550,Middle Eastern;Falafel,11:30 AM,10:00 PM,11:30 AM,09:30 PM,Yes
12,Second Street Bakery,402 2nd StJersey City NJ 07302,(201) 420-1793,Bakeries;Delis;Sandwiches,09:00 AM,03:00 PM,09:00 AM,01:00 PM,Yes
13,Bucket & Bay Craft Gelato,150 Bay StJersey City NJ 07302,(201) 503-5588,Cafes;Ice Cream & Frozen Yogurt;Breakfast & Brunch,08:30 AM,11:30 PM,08:30 AM,10:30 PM,Yes
14,Miscelanea NY,63 E 4th StNew York NY 10003,(212) 253-0277,Coffee & Tea;Mexican;Sandwiches,09:00 AM,07:00 PM,09:00 AM,07:00 PM,Yes
15,Green Juice Cafe,4316 BroadwayNew York NY 10033,(646) 918-7730,Sandwiches;Coffee & Tea;Juice Bars & Smoothies,09:00 AM,06:30 PM,09:00 AM,04:45 PM,Yes
16,S & J,29-20 Crescent StAstoria NY 11102,(718) 879-0080,Moroccan;Halal;Middle Eastern,12:30 PM,07:00 PM,12:30 PM,07:00 PM,Yes
17,Sorriso Italian Pork Store,4416 30th AveAstoria NY 11103,(718) 728-4392,Meat Shops;Delis;Sandwiches,08:00 AM,06:30 PM,08:00 AM,02:00 PM,Yes
18,Coney Shack,3030 Stillwell AveBrooklyn NY 11224,(347) 856-8356,Food Trucks;Hot Dogs;Asian Fusion,12:00 PM,08:00 PM,12:00 PM,08:00 PM,Yes
19,Frisson Espresso,326 W 47th StNew York NY 10036,(646) 850-3928,Coffee & Tea;Cafes,08:00 AM,08:00 PM,08:00 AM,06:30 PM,Yes
20,Kudo Society Downtown Cafe,138 W Central BlvdPalisades Park NJ 07650,(201) 242-0001,Coffee & Tea;Bubble Tea;Cafes,07:00 AM,12:00 AM,07:00 AM,11:00 PM,Yes
21,Areperia Arepa Lady,77-02A Roosevelt AveJackson Heights NY 11373,(347) 730-6124,Colombian,11:00 AM,12:00 AM,11:00 AM,10:00 PM,Yes
22,Porto Rico Importing Company,201 Bleecker StNew York NY 10012,(212) 477-5421,Coffee & Tea;Candy Stores;Herbs & Spices,09:00 AM,09:00 PM,12:00 PM,07:00 PM,Yes
23,Prince Street Pizza,27 Prince StNew York NY 10012,(212) 966-4100,Pizza,11:30 AM,04:00 AM,12:00 PM,11:00 PM,Yes
24,Non Solo Piada,302 W 37th StNew York NY 10018,(212) 216-0616,Italian;Breakfast & Brunch;Piadina,08:00 AM,04:00 PM,08:00 AM,04:00 PM,Yes
25,Best Bagel & Coffee,225 W 35th StNew York NY 10001,(212) 564-4409,Bagels;Coffee & Tea;Breakfast & Brunch,08:00 AM,02:30 PM,CLOSED,CLOSED,Yes
26,Taim West Village,222 Waverly PlNew York NY 10014,(212) 691-1287,Vegetarian;Falafel,11:00 AM,10:00 PM,11:00 AM,10:00 PM,Yes
27,M & P Biancamano,1116 Washington StHoboken NJ 07030,(201) 795-0274,Grocery;Delis,08:30 AM,05:00 PM,CLOSED,CLOSED,Yes
28,Ba Xuyen,4222 8th AveBrooklyn NY 11232,(718) 633-6601,Vietnamese;Sandwiches,07:00 AM,06:30 PM,07:00 AM,06:30 PM,Yes
29,Kam Hing Coffee Shop,118 Baxter StNew York NY 10013,(212) 925-0425,Bakeries;Coffee & Tea,06:00 AM,08:00 PM,06:00 AM,08:00 PM,Yes
30,Cuomo And Sons,7709 BroadwayNorth Bergen NJ 07047,(201) 869-6913,Delis;Italian,08:00 AM,09:00 PM,CLOSED,CLOSED,Yes
31,Ray’s Candy Store,113 Avenue ANew York NY 10009,(212) 505-7609,Desserts;Ice Cream & Frozen Yogurt;Hot Dogs,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS,Yes
32,Tres Leches Cafe,356 E 112th StNew York NY 10029,(646) 559-0176,Bakeries;Desserts;Latin American,10:00 AM,06:30 PM,10:00 AM,03:00 PM,Yes
33,Kafe Louverture,392 Halsey StBrooklyn NY 11216,(347) 305-3176,Coffee & Tea;Haitian,08:00 AM,07:00 PM,10:00 AM,05:00 PM,Yes
34,Tony Dragon’s Grille,62ND St And Madison AveNew York NY 10065,(917) 299-1550,Food Trucks;Mediterranean;Burgers,11:00 AM,05:00 PM,CLOSED,CLOSED,Yes
35,JoJu,83-25 BroadwayElmhurst NY 11373,(347) 808-0887,Vietnamese;Sandwiches;Asian Fusion,11:00 AM,09:00 PM,11:00 AM,09:00 PM,Yes
36,Wah Fung No 1,79 Chrystie StNew York NY 10002,(212) 925-5175,Chinese,10:00 AM,10:00 PM,10:00 AM,10:00 PM,Yes
37,969 NYC Coffee,37-61 80th StJackson Heights NY 11372,(646) 203-7304,Coffee & Tea;Japanese,07:00 AM,09:00 PM,07:00 AM,08:00 PM,Yes
38,Manousheh,193 Bleecker StNew York NY 10012,(347) 971-5778,Lebanese;Bakeries,08:00 AM,11:00 PM,08:00 AM,11:00 PM,Yes
39,Cheeky Sandwiches,35 Orchard StNew York NY 10002,(646) 504-8132,Sandwiches;Desserts,08:00 AM,12:00 AM,08:00 AM,09:00 PM,Yes
40,Koffeewagon Roasters,155 Rte 17 SHasbrouck Heights NJ 07604,(201) 426-0520,Coffee & Tea;Coffee Roasteries,07:00 AM,09:00 PM,07:00 AM,08:00 PM,Yes
41,Brooklyn Bagel & Coffee Company,35-05 BroadwayAstoria NY 11106,(718) 204-0141,Bagels;Coffee & Tea,06:00 AM,04:30 PM,06:00 AM,04:30 PM,Yes
42,Bibble & Sip,253 W 51st StNew York NY 10019,(646) 649-5116,Coffee & Tea;Bakeries,10:00 AM,08:00 PM,10:00 AM,08:00 PM,Yes
43,Salome Cafe,84 Market StClifton NJ 07012,(973) 246-1465,Coffee & Tea;Bakeries;Sandwiches,08:00 AM,05:00 PM,08:00 AM,05:00 PM,Yes
44,Housing Works Bookstore Café,126 Crosby StNew York NY 10012,(212) 334-3324,Bookstores;Cafes,10:00 AM,06:00 PM,10:00 AM,06:00 PM,Yes
45,Fresco Gelateria,138 2nd AveNew York NY 10003,(212) 677-6320,Gelato;Ice Cream & Frozen Yogurt;Breakfast & Brunch,08:00 AM,11:30 PM,08:00 AM,11:00 PM,Yes
46,Tea and Milk,32-02 34th AveAstoria NY 11106,(347) 921-2056,Coffee & Tea;Cafes,09:00 AM,09:00 PM,09:00 AM,08:00 PM,Yes
47,Hero King,132 Franklin AveStore FrontNutley NJ 07110,(973) 661-3095,Sandwiches,09:00 AM,04:00 PM,CLOSED,CLOSED,Yes
48,Lorimer Market,620 Lorimer StBrooklyn NY 11211,(718) 389-2691,Meat Shops;Sandwiches;Burgers,08:00 AM,07:00 PM,CLOSED,CLOSED,Yes
49,Royal Halal,44TH St And 6th AveNew York NY 10018,(347) 724-0504,Halal;Food Trucks;Street Vendors,10:00 AM,12:00 AM,10:00 AM,12:00 AM,Yes
50,Govinda’s Vegetarian,305 Schermerhorn StBrooklyn NY 11217,(347) 249-4064,Vegetarian;Vegan;Indian,CLOSED,CLOSED,CLOSED,CLOSED,Yes
51,Mi Mariachi Taqueria,213 Sip AveJersey City NJ 07306,(201) 222-1998,Mexican,10:00 AM,09:30 PM,10:00 AM,09:30 PM,Yes
52,Chobani SoHo,152 Prince StNew York NY 10012,(212) 364-3970,Coffee & Tea;Sandwiches;Cafes,08:30 AM,07:00 PM,08:30 AM,07:00 PM,Yes
53,LaGuardia Airport,94-00 Grand Central PkwyEast Elmhurst NY 11371,(718) 533-3400,Airports,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS,OPEN 24 HOURS,No
54,Vogue Café,177 York StJersey City NJ 07302,(201) 763-6972,Cafes;Coffee & Tea;Bakeries,08:00 AM,05:00 PM,08:00 AM,05:00 PM,Yes
55,The Casbah - Halal Cart,Corner of 66th St & Columbus AveNew York NY 10023,(929) 401-8654,Halal;Street Vendors,10:00 AM,11:00 PM,10:00 AM,11:00 PM,Yes
56,Frenchy’s Food Truck,341 Eastern PkwyBrooklyn NY 11238,(646) 468-2861,Coffee & Tea;French;Food Trucks,07:00 AM,03:00 PM,CLOSED,CLOSED,Yes
57,Louie’s Pizza,81-34 Baxter AveElmhurst NY 11373,(718) 440-9346,Italian;Pizza,11:00 AM,11:00 PM,CLOSED,CLOSED,Yes
58,Beard Papa’s,2167 BroadwayNew York NY 10024,(212) 799-3770,Bakeries;Desserts;Coffee & Tea,10:00 AM,09:00 PM,10:00 AM,09:00 PM,Yes
59,Taqueria Tlaxcalli,2103 Starling AveBronx NY 10462,(347) 851-3085,Mexican,10:00 AM,01:00 AM,10:00 AM,12:00 AM,Yes
60,Gaia Italian Café,251 E Houston StNew York NY 10002,(646) 350-3977,Italian,11:00 AM,10:00 PM,CLOSED,CLOSED,No
61,The Commissioner,247 5th AveBrooklyn NY 11215,(347) 689-3968,Pubs,12:00 PM,04:00 AM,12:00 PM,02:00 AM,No
62,Mysttik Masaala,375 Park AveCorner of 53rd streetNew York NY 10022,(917) 306-3128,Food Trucks;Indian,CLOSED,CLOSED,CLOSED,CLOSED,Yes
63,Breakroom,83 Baxter StNew York NY 10013,(212) 227-2802,Burgers;Mexican,11:00 AM,11:00 PM,11:00 AM,10:00 PM,Yes
64,Prato Bakery,61 Erie StJersey City NJ 07302,(201) 798-8900,Coffee & Tea;Bakeries;Pizza;Sandwiches,07:30 AM,07:30 PM,08:30 AM,07:30 PM,Yes
65,NY Dosas,50 Washington Sq SNew York NY 10014,(917) 710-2092,Indian;Food Stands;Vegetarian,11:00 AM,04:00 PM,CLOSED,CLOSED,Yes
66,Pommes Frites,128 Macdougal StNew York NY 10012,(212) 674-1234,Belgian;Specialty Food;Fast Food,11:00 AM,03:00 AM,11:00 AM,01:00 AM,Yes
67,Doaba Deli,945 Columbus AveNew York NY 10025,(212) 222-2636,Indian;Vegetarian,06:00 AM,05:30 AM,06:00 AM,05:30 AM,Yes
68,Giovannis Deli,267 Centre AveSecaucus NJ 07094,(201) 617-5100,Delis;Italian,08:00 AM,05:00 PM,09:00 AM,04:00 PM,Yes
69,Parisi Bakery,198 Mott StNew York NY 10012,(212) 226-6378,Bakeries;Sandwiches,07:30 AM,04:00 PM,CLOSED,CLOSED,Yes
70,Patisserie Florentine,280 E 10th StNew York NY 10009,(212) 995-0300,Desserts;Coffee & Tea;Bakeries,08:00 AM,06:00 PM,08:00 AM,06:00 PM,Yes
71,Roots Café,639A 5th AveBrooklyn NY 11215,(347) 223-4614,Coffee & Tea;Breakfast & Brunch;Sandwiches,08:00 AM,06:00 PM,08:00 AM,06:00 PM,Yes
